Time-step	Difference in E
100.0	1.9328396466831629E28
150.0	2.9174229791005973E28
225.0	4.434600691656779E28
337.5	6.847192160647745E28
506.25	1.015567660296974E29
759.375	1.5343628815890806E29
1139.0625	2.3154966873427515E29
1708.59375	3.838162886226495E29
2562.890625	5.371440836582406E29
3844.3359375	1.1539555258516393E30
5766.50390625	1.2795870434566468E30
8649.755859375	2.5454856847899355E30
12974.6337890625	5.084468184455425E30
19461.95068359375	5.94825972205495E30
29192.926025390625	2.0287220678792797E31
43789.38903808594	7.271206693603448E31
65684.0835571289	1.4931015865117567E32
98526.12533569336	3.082907160464197E32
147789.18800354004	4.251569085461198E33
221683.78200531006	1.3629765551625448E33
332525.6730079651	3.023656094701498E33
498788.50951194763	7.489183028413863E33
748182.7642679214	1.4975095231917433E34
1122274.1464018822	3.366715571154584E34
1683411.2196028233	7.578351711093164E34
2525116.829404235	1.6859279589335832E35
3787675.2441063523	3.810823509955717E35
5681512.8661595285	8.683283729303629E35
8522269.299239293	1.9433203524624724E36
1.278340394885894E7	4.36567812629367E36
1.917510592328841E7	9.809922956897038E36
2.8762658884932615E7	2.2058292116290245E37
