Time-step	Difference in L
100.0	9.784455165850712E29
150.0	2.100101546441728E30
225.0	7.09155338607686E29
337.5	6.044111951258348E29
506.25	2.14853995186657E29
759.375	5.552020599124403E29
1139.0625	6.8412044688523E29
1708.59375	2.7249592728482703E29
2562.890625	3.8714056099588934E29
3844.3359375	4.605724472609841E29
5766.50390625	4.613099629287795E29
8649.755859375	2.723571639945831E29
12974.6337890625	8.874536620719287E27
19461.95068359375	5.455112266267625E28
29192.926025390625	9.907231776670493E28
43789.38903808594	7.031957267605341E27
65684.0835571289	7.429422180107382E28
98526.12533569336	2.003497171955676E28
147789.18800354004	2.476665755693082E28
221683.78200531006	5.946161969321653E28
332525.6730079651	4.46000979371143E28
498788.50951194763	5.448091398776643E28
748182.7642679214	9.94122746212611E27
1122274.1464018822	6.43850747649185E28
1683411.2196028233	1.4889946269341736E28
2525116.829404235	5.15840586716723E27
3787675.2441063523	2.5228516078337903E28
5681512.8661595285	1.4873856092061779E29
8522269.299239293	1.193266653806539E29
1.278340394885894E7	1.4421497124437316E29
1.917510592328841E7	7.681456374067382E29
2.8762658884932615E7	1.994390776864378E29
