Time-step	Difference in E
60.0	1.1547237625708948E28
90.0	1.7376199530029883E28
135.0	2.6203633898713514E28
202.5	3.972777237778121E28
303.75	6.10798301281631E28
455.625	9.305398911783574E28
683.4375	1.453711043934541E29
1025.15625	2.194427975131003E29
1537.734375	3.181029600128486E29
2306.6015625	5.3316562116345375E29
3459.90234375	7.410958321158894E29
5189.853515625	1.702000387888608E30
7784.7802734375	3.1552302879800186E30
11677.17041015625	2.6927756485740055E30
17515.755615234375	5.063966649405884E30
26273.633422851562	2.0174771783804413E31
39410.450134277344	5.090352364640542E31
59115.675201416016	1.1544796015316367E32
88673.51280212402	2.5262849044241515E32
133010.26920318604	5.016728906851845E32
199515.40380477905	1.1086836165611087E33
299273.1057071686	2.4379363018567455E33
448909.65856075287	5.457408134756554E33
673364.4878411293	1.2062328647097274E34
1010046.731761694	2.7232851785661254E34
1515070.097642541	6.078555190463546E34
2272605.1464638114	1.3673304512015663E35
3408907.719695717	3.079800652572268E35
5113361.579543576	6.98966988585019E35
7670042.3693153635	1.5742931688321416E36
1.1505063553973045E7	3.537759538867312E36
1.7257595330959566E7	7.948090625498273E36
2.588639299643935E7	1.7868381269806411E37
