Time-step	Difference in L
60.0	2.6153312251968713E30
90.0	1.0610227118025101E30
135.0	1.545112832253872E30
202.5	2.036095918585446E30
303.75	7.331562148542044E29
455.625	1.0503075563875741E29
683.4375	6.042483850105813E29
1025.15625	7.626049329960391E29
1537.734375	9.308376664691034E28
2306.6015625	9.98204981915504E28
3459.90234375	5.491223989176817E28
5189.853515625	1.835268981871551E29
7784.7802734375	4.971065338180787E28
11677.17041015625	7.937559928330605E28
17515.755615234375	9.414597616185222E28
26273.633422851562	6.458067950866859E28
39410.450134277344	2.4958315912477714E28
59115.675201416016	1.021073375630807E28
88673.51280212402	3.9685720891866704E28
133010.26920318604	1.4880696543219492E28
199515.40380477905	1.730073799944294E26
299273.1057071686	8.333138916127919E26
448909.65856075287	2.9712802408254453E28
673364.4878411293	2.4766566916091714E28
1010046.731761694	4.459296682760209E28
1515070.097642541	1.4861726677183114E28
2272605.1464638114	1.9826109809752495E28
3408907.719695717	3.483330777849376E28
5113361.579543576	3.635889115387648E28
7670042.3693153635	1.614266401905035E28
1.1505063553973045E7	5.474070790272308E28
1.7257595330959566E7	4.395126434339043E29
2.588639299643935E7	9.917825387273568E29
