Time-step	Difference in L
1000.0	3.0452455913790175E34
1500.0	7.372451784585364E34
2250.0	1.4688760085964637E35
3375.0	2.5733606231099604E35
5062.5	5.175938835323212E35
7593.75	4.113468745382575E35
11390.625	6.011812868246797E35
17085.9375	8.22944823120672E35
25628.90625	1.5198132033789307E36
38443.359375	1.8140921883602055E36
57665.0390625	6.46320246558596E36
86497.55859375	1.15067610313943E37
129746.337890625	2.827338005761473E37
194619.5068359375	7.737939195939995E37
291929.26025390625	2.8184155590380908E38
437893.8903808594	3.991901407896813E38
656840.8355712891	9.71742725628313E38
985261.2533569336	2.0519885039458058E39
1477891.8800354004	4.40833697086005E39
2216837.8200531006	4.4268282904453054E39
3325256.730079651	4.18065751691427E38
4987885.095119476	1.1973554672062126E40
7481827.6426792145	4.971691729430915E40
1.1222741464018822E7	3.196821457282957E40
1.6834112196028233E7	2.7957617465539682E41
2.525116829404235E7	8.49821373804603E41
