Time-step	Difference in E
30.0	4.243787843970139E25
45.0	1.433349276950261E26
67.5	4.827241756951906E26
101.25	1.6236397644956163E27
151.875	5.45664278317898E27
227.8125	1.829579669124414E28
341.71875	6.11611661393222E28
512.578125	2.085822675687578E29
768.8671875	7.269457026019172E29
1153.30078125	1.554600260849906E30
1729.951171875	3.227576280665298E30
2594.9267578125	7.099785821267496E30
3892.39013671875	1.4500627903630395E31
5838.585205078125	1.8947805588311214E31
8757.877807617188	2.970856014298444E31
13136.816711425781	2.6296125322568635E31
19705.225067138672	3.475030734707712E31
29557.837600708008	3.43985717007578E31
44336.75640106201	4.249531946310133E31
66505.13460159302	5.701727208301319E31
99757.70190238953	5.1060531367780626E32
149636.5528535843	1.6566898197345336E32
224454.82928037643	2.26511871300095E32
336682.24392056465	4.85724021777904E32
505023.365880847	1.30061681626912E33
757535.0488212705	9.718227930906744E32
1136302.5732319057	1.3790289210076913E33
1704453.8598478585	3.405210755628181E33
2556680.789771788	6.177509356008735E33
3835021.1846576817	7.359378697836541E33
5752531.776986523	1.3318252220573092E34
8628797.665479783	9.101252604212401E33
1.2943196498219674E7	8.197564267811489E33
1.941479474732951E7	1.1917161857551642E34
2.9122192120994266E7	1.8376356602695496E34
