Time-step	Difference in E
100.0	6.950502333623346E31
150.0	9.269106386265206E31
225.0	1.276993762151598E32
337.5	1.7143885757879267E32
506.25	2.373779616410434E32
759.375	3.232413705162591E32
1139.0625	4.421560347459729E32
1708.59375	6.0041254694746825E32
2562.890625	8.065107489319026E32
3844.3359375	1.0701876926695726E33
5766.50390625	1.3981078409192603E33
8649.755859375	1.8062944413523607E33
12974.6337890625	2.278822102606138E33
19461.95068359375	2.851596384701485E33
29192.926025390625	3.542125217810763E33
43789.38903808594	4.382253790833797E33
65684.0835571289	5.474832295745211E33
98526.12533569336	8.203899857032947E33
147789.18800354004	9.163804179741721E33
221683.78200531006	1.2002636593492737E34
332525.6730079651	1.6937331141938324E34
498788.50951194763	2.797535912800824E34
748182.7642679214	3.872286977715403E34
1122274.1464018822	6.461773804832876E34
1683411.2196028233	1.156284445770956E35
2525116.829404235	2.2134902097485223E35
3787675.2441063523	4.471856796024903E35
5681512.8661595285	9.406560916212312E35
8522269.299239293	2.0346027937405982E36
1.278340394885894E7	4.4759107692095634E36
1.917510592328841E7	9.946828862908966E36
2.8762658884932615E7	2.2226097412816297E37
