Time-step	Difference in L
500.0	1.486335782277797E39
750.0	2.2065115585672238E39
1125.0	3.268397416003431E39
1687.5	4.826547442890665E39
2531.25	7.102667658010029E39
3796.875	1.0417056904158986E40
5695.3125	1.5209875808992962E40
8542.96875	2.2129155803149516E40
12814.453125	3.2105301529428235E40
19221.6796875	4.646381590638355E40
28832.51953125	6.719222036887698E40
43248.779296875	9.713079105950254E40
64873.1689453125	1.40520573782112E41
97309.75341796875	2.0371187697269875E41
145964.63012695312	2.9458467642057215E41
218946.9451904297	4.264028226147484E41
328420.41778564453	6.16190385946268E41
492630.6266784668	8.856020878148202E41
738945.9400177002	1.2602332651831319E42
1108418.9100265503	1.774246153419319E42
1662628.3650398254	2.466528908017255E42
2493942.547559738	3.4014570485763196E42
3740913.8213396072	4.632631610079716E42
5611370.732009411	6.269055175387973E42
8417056.098014116	8.492041362749622E42
1.2625584147021174E7	1.1665122036158886E43
1.893837622053176E7	1.6714556673575236E43
2.8407564330797642E7	2.520788620133255E43
