Callisto X	Callisto Y
-6.362213838083538E11	-5.023384808667464E11
-6.063317642742961E11	-5.398902901535683E11
-5.748355477663318E11	-5.681902647395839E11
-5.413201631948369E11	-6.021706545718588E11
-5.0602749104086237E11	-6.266743321369122E11
-4.6928695146366064E11	-6.566488167392786E11
-4.3062278987885864E11	-6.769575785030873E11
-3.9110563269821344E11	-7.025295678610157E11
-3.49542925594919E11	-7.182857573451665E11
-3.0774340784922327E11	-7.391026962005717E11
-2.6379936498446402E11	-7.49995334138597E11
-2.2025338136405173E11	-7.657538085355925E11
-1.7448706539702612E11	-7.71523612156229E11
-1.2977043589837704E11	-7.819754217201504E11
-8.277985256961429E10	-7.824218528122257E11
-3.750381959829245E10	-7.873810759202426E11
1.0080569926977247E10	-7.823686672630247E11
5.527610271368815E10	-7.817172198304556E11
1.0279618846010252E11	-7.711808298745673E11
1.4724765336131784E11	-7.648747267930878E11
1.9402518289482336E11	-7.488268676248179E11
2.3705422888460815E11	-7.369030830135735E11
2.8240063569970496E11	-7.154390743113099E11
3.233244305520201E11	-6.980195008334514E11
3.665502068466362E11	-6.71321112488902E11
4.0469116698819434E11	-6.486167230050754E11
4.45118012196187E11	-6.169566975615145E11
4.798176146415899E11	-5.892710224920621E11
5.16792673851116E11	-5.530141643965354E11
5.47425084693599E11	-5.2074246703437634E11
5.803336896707513E11	-4.803438691989128E11
6.063195550170403E11	-4.4397141426234906E11
6.346011747751085E11	-3.9997465968157465E11
6.554238107691561E11	-3.600729379497597E11
6.785873734434769E11	-3.13103038854672E11
6.93807111567551E11	-2.7032085316370078E11
7.114440206567299E11	-2.210743545149775E11
7.207110186315708E11	-1.7612708474520264E11
7.325092166257639E11	-1.2536098200530804E11
7.355770696738716E11	-7.901793118398004E10
7.413320328403947E11	-2.7533607307739285E10
7.380661427067772E11	1.939986492653997E10
7.37687552161607E11	7.077452448233075E10
7.280709600836863E11	1.1747482759044695E11
7.215882986875874E11	1.6790332225189258E11
7.057256361640548E11	2.1354779238034253E11
6.93288918303093E11	2.6220629286483624E11
6.714040083795753E11	3.059942444377628E11
6.532791404417853E11	3.5209127629115857E11
6.257091637614498E11	3.932628909549234E11
6.022719509173799E11	4.3605691879832434E11
5.694598466927943E11	4.7391071002652E11
5.411850674560105E11	5.1272881746519824E11
5.036661224484996E11	5.4663828203675195E11
4.71113154576887E11	5.808891368270996E11
4.295000982491643E11	6.103141930574647E11
3.9329821308018634E11	6.394984656423726E11
3.482659998786238E11	6.639950025902407E11
3.090973641690182E11	6.877145580855122E11
2.6136496520406976E11	7.069408524108589E11
2.1994671431409198E11	7.249014384989122E11
1.7026005041222018E11	7.386192104278666E11
1.2732841438184634E11	7.506306641470076E11
7.644466399077415E10	7.587051285412358E11
3.273873566094778E10	7.646814551894672E11
-1.858953202452937E10	7.670782680780626E11
-6.234239253291297E10	7.670309304112086E11
-1.1338051458253333E11	7.638093967376267E11
-1.564763567386043E11	7.578412196908248E11
-2.06518579825968E11	7.491480560115436E11
-2.482879169016685E11	7.374470950709331E11
-2.966676368285704E11	7.235086258328937E11
-3.3648408188868524E11	7.063376851840964E11
-3.825810684225401E11	6.874494588663596E11
-4.198671973616214E11	6.651375128618363E11
-4.6311308776580206E11	6.41656771622727E11
-4.973459953299826E11	6.145914772370492E11
-5.37229189943181E11	5.869280170868933E11
-5.679440674971315E11	5.555449134922927E11
-6.040118463063538E11	5.2415159496513934E11
-6.308030339180398E11	4.8892669262031323E11
-6.626632053435223E11	4.542924792855217E11
-6.851864037723434E11	4.1573541916581903E11
-7.125087360093978E11	3.7837783982177374E11
-7.304813216403666E11	3.3702285002360913E11
-7.529967593018534E11	2.974802240483649E11
-7.661962389664479E11	2.5388112004834103E11
-7.836965622661866E11	2.1270767359522763E11
-7.919613333973055E11	1.674318662672266E11
-8.04299223563199E11	1.2519141045198615E11
-8.075274457173121E11	7.881334792997469E10
-8.146143599526539E11	3.607397855958054E10
-8.127616005766377E11	-1.0828339155821333E10
-8.145671211601772E11	-5.349806910372083E10
-8.076466954599923E11	-1.0034792409875578E11
-8.04198070189364E11	-1.4238418597503235E11
-7.922798046817738E11	-1.8861166101788605E11
-7.836598078454664E11	-2.294592165912863E11
-7.668674492231664E11	-2.7450317581963345E11
-7.532138485505272E11	-3.136188615512117E11
-7.317258590139661E11	-3.5693223262597406E11
-7.132309159307158E11	-3.937897542115348E11
-6.872788914468843E11	-4.348440529107607E11
-6.641874468287648E11	-4.689376018908777E11
-6.340540994737117E11	-5.0722528801206213E11
-6.066630836056936E11	-5.3807320976099243E11
-5.726826743900802E11	-5.731132705404507E11
-5.4134043073595984E11	-6.002635959647197E11
-5.0389704284382544E11	-6.31606599675435E11
-4.690009373135173E11	-6.546408874315634E11
-4.285259977255063E11	-6.81872072735183E11
-3.9052183466642224E11	-7.004103235102739E11
-3.474940520699352E11	-7.23156231500854E11
-3.068736824802838E11	-7.368631299571268E11
-2.6181548869780096E11	-7.547975056293143E11
-2.1911364399325153E11	-7.63387436932733E11
-1.7258789587216757E11	-7.762354656250048E11
-1.2837968897972229E11	-7.794783403583622E11
-8.098736746202336E10	-7.870242745219618E11
-3.588336047130355E10	-7.847526864222565E11
1.1743223263276485E10	-7.868460881542979E11
