Enceladus X	Enceladus Y
8.507608395010688E9	-1.5047167572810735E12
4.1285609167325424E10	-1.5042500774047449E12
7.404092301603445E10	-1.5029933477522046E12
1.067832684271821E11	-1.5009564389567742E12
1.3949596619779303E11	-1.498158963225307E12
1.7215332724240536E11	-1.4945991339663694E12
2.0474820545820593E11	-1.4902753562049001E12
2.3727242591005365E11	-1.4852057679762776E12
2.6969596771588312E11	-1.4794101485543054E12
3.01984904908532E11	-1.4728873327741768E12
3.341289979559039E11	-1.4656330058988606E12
3.661135297071214E11	-1.457662972958085E12
3.9789683878101685E11	-1.4489830381760583E12
4.29449651980343E11	-1.4395779821167385E12
4.607643606590586E11	-1.4294446161170637E12
4.918253416590543E11	-1.4185935951075752E12
5.226039810291768E11	-1.4070240036533708E12
5.530857564764893E11	-1.3947189367032236E12
5.832770543425803E11	-1.3816768738704155E12
6.131659196642109E11	-1.3679148103794988E12
6.427270780780848E11	-1.3534331121658647E12
6.719606860341576E11	-1.3382274052784941E12
7.008734778115237E11	-1.3223157348272263E12
7.294503286832432E11	-1.305720812463634E12
7.576675927413232E11	-1.2884488163579482E12
7.855181671316248E11	-1.2705028712226013E12
8.12997442924569E11	-1.251908700577536E12
8.40072751301079E11	-1.2326925587479128E12
8.66713912451712E11	-1.2128553198234026E12
8.929148285378033E11	-1.192402604894974E12
9.186579995935997E11	-1.171355369733397E12
9.439064432207056E11	-1.1497232230278328E12
9.686328895122363E11	-1.1274990562392993E12
9.928322045019005E11	-1.1046841689850684E12
1.0164923131124688E12	-1.0812976932547988E12
1.0395837014551461E12	-1.0573432124842457E12
1.0620990001477273E12	-1.0328084714485665E12
1.0840465384645092E12	-1.0077029057384841E12
1.1054138222776338E12	-9.82046928298513E11
1.1261821370191619E12	-9.558472683030475E11
1.1463528240193801E12	-9.291076293889681E11
1.165936400295716E12	-9.01851226388902E11
1.184919785969136E12	-8.741093469524067E11
1.2032804380686838E12	-8.458912851923553E11
1.221018896154579E12	-8.172074806940854E11
1.2381298628786821E12	-7.880927291129756E11
1.2545833262533066E12	-7.585749819899241E11
1.270355885945157E12	-7.286628346966869E11
1.2854425523291367E12	-6.983679603244718E11
1.299831264612633E12	-6.677164310171606E11
1.313487151975442E12	-6.367248604845017E11
1.3263880929280977E12	-6.05388575556517E11
1.3385366713097766E12	-5.737179916718649E11
1.3499205301039321E12	-5.417381857018586E11
1.3605175941214355E12	-5.0945491970945544E11
1.3703270750488613E12	-4.7686512963744916E11
1.3793600426417073E12	-4.439830495822971E11
1.3876110456723245E12	-4.1083535821286E11
1.3950643704700999E12	-3.774346908837505E11
1.4017296462649392E12	-3.437885085960202E11
1.4076231247698145E12	-3.099299387160542E11
1.412733008467952E12	-2.7589317119635425E11
1.417046980235175E12	-2.416915502056837E11
1.4205703549154705E12	-2.0734427730345947E11
1.4233025736654333E12	-1.7288908991459885E11
