Eris X	Eris Y
1.2934665104403316E13	5.519782136231867E12
1.2932250222455371E13	5.525360199782996E12
1.2929827855042037E13	5.530935065099529E12
1.292739800163847E13	5.536506728132681E12
1.2924960661719027E13	5.542075184831019E12
1.2922515834757375E13	5.547640431140482E12
1.2920063520226367E13	5.553202463004256E12
1.2917603717598094E13	5.558761276362719E12
1.2915136426343656E13	5.564316867153465E12
1.2912661645933357E13	5.569869231311204E12
1.2910179375836496E13	5.575418364767713E12
1.290768961552137E13	5.580964263451809E12
1.2905192364455148E13	5.586506923289301E12
1.2902687622103842E13	5.592046340202978E12
1.2900175387932287E13	5.597582510112547E12
1.2897655661404086E13	5.603115428934642E12
1.2895128441981387E13	5.608645092582758E12
1.289259372912494E13	5.614171496967277E12
1.2890051522294086E13	5.619694637995475E12
1.2887501820946443E13	5.62521451157148E12
1.2884944624538139E13	5.630731113596251E12
1.2882379932523514E13	5.63624443996766E12
1.287980774435519E13	5.641754486580497E12
1.2877228059483969E13	5.647261249326454E12
1.287464087735882E13	5.652764724094192E12
1.2872046197426793E13	5.658264906769413E12
1.2869444019132938E13	5.663761793234828E12
1.2866834341920396E13	5.669255379370265E12
1.2864217165230273E13	5.674745661052764E12
1.2861592488501885E13	5.680232634156541E12
1.2858960311172385E13	5.685716294553148E12
1.2856320632677027E13	5.691196638111515E12
1.2853673452449217E13	5.696673660697984E12
1.2851018769920371E13	5.702147358176435E12
1.2848356584520193E13	5.707617726408331E12
1.2845686895676623E13	5.713084761252808E12
1.284300970281596E13	5.718548458566679E12
1.2840325005362902E13	5.724008814204557E12
1.2837632802740703E13	5.729465824018874E12
1.283493309437123E13	5.734919483859916E12
1.2832225879675129E13	5.740369789575867E12
1.2829511158071885E13	5.745816737012782E12
1.2826788928979969E13	5.751260322014657E12
1.282405919181683E13	5.756700540423379E12
1.2821321945999203E13	5.762137388078725E12
1.2818577190943033E13	5.767570860818303E12
1.2815824926063742E13	5.773000954477515E12
1.281306515077608E13	5.778427664889485E12
1.281029786449427E13	5.783850987885018E12
1.2807523066632193E13	5.7892709192925625E12
1.2804740756603246E13	5.794687454938011E12
1.2801950933820432E13	5.800100590644689E12
1.2799153597696348E13	5.80551032223328E12
1.2796348747643186E13	5.810916645521685E12
1.2793536383072695E13	5.816319556324951E12
1.2790716503396148E13	5.821719050455134E12
1.2787889108024219E13	5.82711512372129E12
1.2785054196367006E13	5.832507771929394E12
1.2782211767833895E13	5.837896990882184E12
1.2779361821833535E13	5.843282776379118E12
1.277650435777362E13	5.848665124216445E12
1.2773639375060943E13	5.85404403018698E12
1.2770766873101186E13	5.859419490080185E12
1.2767886851299025E13	5.864791499682094E12
1.2764999309057734E13	5.870160054775349E12
1.2762104245779342E13	5.875525151139185E12
1.2759201660864414E13	5.880886784549351E12
1.2756291553712096E13	5.886244950778261E12
1.2753373923719967E13	5.891599645594919E12
1.275044877028401E13	5.89695086476496E12
1.274751609279855E13	5.902298604050739E12
1.2744575890656254E13	5.907642859211335E12
1.2741628163248078E13	5.912983626002572E12
1.2738672909963273E13	5.918320900177109E12
1.2735710130189297E13	5.923654677484494E12
1.2732739823312012E13	5.928984953671149E12
1.27297619887154E13	5.934311724480532E12
1.272677662578193E13	5.939634985653021E12
1.2723783733892314E13	5.944954732926155E12
1.2720783312425613E13	5.950270962034555E12
1.2717775360759445E13	5.955583668709988E12
1.2714759878269771E13	5.960892848681441E12
1.2711736864331086E13	5.966198497675128E12
1.2708706318316527E13	5.971500611414513E12
1.270566823959788E13	5.976799185620411E12
1.2702622627545543E13	5.982094216010933E12
1.2699569481528812E13	5.98738569830152E12
1.269650880091574E13	5.992673628204985E12
1.2693440585073295E13	5.997958001431505E12
1.269036483336748E13	6.003238813688632E12
1.268728154516327E13	6.008516060681289E12
1.268419071982479E13	6.013789738111761E12
1.26810923567153E13	6.019059841679694E12
1.2677986455197307E13	6.024326367082084E12
1.2674873014632578E13	6.029589310013227E12
1.267175203438234E13	6.034848666164721E12
1.2668623513807008E13	6.040104431225438E12
1.2665487452266578E13	6.045356600881509E12
1.2662343849120469E13	6.050605170816205E12
1.2659192703727625E13	6.055850136709989E12
1.2656034015446541E13	6.061091494240449E12
1.2652867783635188E13	6.066329239082198E12
1.2649694007651223E13	6.071563366906888E12
1.2646512686851834E13	6.076793873383126E12
1.2643323820593885E13	6.082020754176424E12
1.2640127408233771E13	6.087244004949114E12
1.2636923449127531E13	6.092463621360359E12
1.2633711942630744E13	6.097679599066019E12
1.2630492888098598E13	6.10289193371862E12
1.2627266284885688E13	6.108100620967262E12
1.2624032132346375E13	6.113305656457649E12
1.2620790429834342E13	6.118507035831915E12
1.2617541176702715E13	6.123704754728629E12
1.2614284372303902E13	6.12889880878272E12
1.2611020015989773E13	6.134089193625427E12
1.260774810711145E13	6.139275904884188E12
1.2604468645019174E13	6.144458938182697E12
1.2601181629062383E13	6.149638289140774E12
1.259788705858955E13	6.154813953374342E12
1.2594584932948156E13	6.1599859264953955E12
1.2591275251484578E13	6.165154204111924E12
1.2587958013543947E13	6.170318781827991E12
1.2584633218470299E13	6.175479655243596E12
1.2581300865606207E13	6.18063681995473E12
1.2577960954292885E13	6.18579027155336E12
1.2574613483869973E13	6.190940005627399E12
1.2571258453675639E13	6.196086017760729E12
1.2567895863046383E13	6.201228303533272E12
1.2564525711317023E13	6.206366858520947E12
1.2561147997820617E13	6.211501678295719E12
1.2557762721888414E13	6.216632758425624E12
1.2554369882849797E13	6.221760094474925E12
1.2550969480032309E13	6.226883682004023E12
1.2547561512761621E13	6.232003516569604E12
1.2544145980361498E13	6.237119593724679E12
1.254072288215379E13	6.242231909018693E12
1.2537292217458564E13	6.2473404579975625E12
1.2533853985594027E13	6.2524452362038E12
1.253040818587659E13	6.257546239176496E12
1.252695481762092E13	6.262643462451529E12
1.2523493880140035E13	6.267736901561523E12
1.2520025372745537E13	6.272826552036027E12
1.2516549294747389E13	6.27791240940143E12
1.2513065645454283E13	6.282994469181169E12
1.2509574424173621E13	6.288072726895684E12
1.2506075630211758E13	6.293147178062446E12
1.2502569262874004E13	6.298217818196029E12
1.249905532146473E13	6.303284642808079E12
1.2495533805287555E13	6.308347647407316E12
1.2492004713645418E13	6.31340682749951E12
1.2488468045840742E13	6.318462178587443E12
1.2484923801175387E13	6.323513696170858E12
1.2481371978950893E13	6.328561375746403E12
1.2477812578468396E13	6.33360521280756E12
1.2474245599028807E13	6.338645202844551E12
1.247067103993277E13	6.343681341344291E12
1.2467088900480672E13	6.348713623790197E12
1.2463499179972643E13	6.353742045662175E12
1.2459901877708596E13	6.358766602436505E12
1.2456296992988102E13	6.363787289585717E12
1.2452684525110383E13	6.368804102578497E12
1.2449064473374334E13	6.373817036879559E12
1.2445436837078246E13	6.37882608794963E12
1.2441801615519893E13	6.383831251245333E12
1.2438158807996445E13	6.388832522219144E12
1.243450841380422E13	6.393829896319214E12
1.2430850432238725E13	6.39882336898949E12
1.2427184862594428E13	6.403812935669582E12
1.242351170416482E13	6.408798591794745E12
1.2419830956242209E13	6.41378033279584E12
1.24161426181176E13	6.418758154099344E12
1.2412446689080676E13	6.423732051127456E12
1.2408743168419715E13	6.428702019297914E12
1.2405032055421588E13	6.433668054024162E12
1.240131334937147E13	6.438630150715342E12
1.2397587049552975E13	6.443588304776321E12
1.2393853155248123E13	6.448542511607736E12
1.2390111665737273E13	6.453492766606059E12
1.2386362580299025E13	6.458439065163666E12
1.238260589821033E13	6.463381402668771E12
1.237884161874644E13	6.468319774505658E12
1.2375069741181006E13	6.473254176054608E12
1.2371290264785871E13	6.478184602691991E12
1.2367503188831344E13	6.48311104979033E12
1.2363708512586172E13	6.488033512718361E12
1.235990623531742E13	6.492951986841053E12
1.2356096356290844E13	6.497866467519689E12
1.2352278874770594E13	6.502776950111884E12
1.2348453790019531E13	6.507683429971635E12
1.2344621101299168E13	6.51258590244939E12
1.2340780807869771E13	6.517484362891981E12
1.233693290899043E13	6.522378806642784E12
1.2333077403919148E13	6.527269229041673E12
1.2329214291912896E13	6.532155625425013E12
1.2325343572227648E13	6.537037991125699E12
1.2321465244118498E13	6.541916321473204E12
1.2317579306839758E13	6.546790611793458E12
1.2313685759644904E13	6.551660857409048E12
1.2309784601786822E13	6.556527053638989E12
1.2305875832517734E13	6.561389195798835E12
1.2301959451089309E13	6.566247279200653E12
1.229803545675273E13	6.571101299152971E12
1.2294103848758701E13	6.575951250960773E12
1.2290164626357559E13	6.580797129925431E12
1.2286217788799291E13	6.58563893134468E12
1.22822633353335E13	6.590476650512632E12
1.2278301265209598E13	6.595310282719633E12
1.2274331577676648E13	6.600139823252304E12
1.2270354271983531E13	6.604965267393458E12
1.2266369347378912E13	6.609786610422003E12
1.2262376803111238E13	6.614603847612916E12
1.2258376638428787E13	6.619416974237229E12
1.225436885257953E13	6.624225985561901E12
1.2250353444811277E13	6.629030876849791E12
1.2246330414371553E13	6.633831643359556E12
1.224229976050773E13	6.638628280345631E12
1.2238261482466795E13	6.643420783058148E12
1.2234215579495455E13	6.648209146742849E12
1.2230162050839957E13	6.652993366641019E12
1.2226100895746215E13	6.657773437989493E12
1.2222032113459604E13	6.662549356020525E12
1.2217955703225059E13	6.667321115961766E12
1.2213871664286824E13	6.672088713036158E12
1.2209779995888521E13	6.676852142461956E12
1.220568069727304E13	6.681611399452649E12
1.220157376768243E13	6.686366479216901E12
1.2197459206357889E13	6.69111737695855E12
1.219333701253958E13	6.695864087876573E12
1.2189207185466732E13	6.700606607165064E12
1.2185069724377314E13	6.705344930013194E12
1.2180924628508277E13	6.710079051605239E12
1.2176771897095156E13	6.714808967120553E12
1.2172611529372174E13	6.719534671733642E12
1.2168443524572266E13	6.724256160614128E12
1.2164267881926832E13	6.728973428926774E12
1.216008460066574E13	6.733686471831606E12
1.215589368001741E13	6.7383952844838125E12
1.2151695119208635E13	6.743099862033972E12
1.2147488917464777E13	6.747800199628E12
1.2143275074009457E13	6.752496292407225E12
1.2139053588064812E13	6.757188135508486E12
1.2134824458851445E13	6.761875724064265E12
1.2130587685588488E13	6.766559053202633E12
1.212634326749358E13	6.771238118047479E12
1.2122091203783053E13	6.775912913718447E12
1.2117831493671867E13	6.780583435331129E12
1.2113564136373988E13	6.78524967799706E12
1.2109289131102072E13	6.789911636823794E12
1.210500647706791E13	6.794569306915007E12
1.210071617348242E13	6.799222683370469E12
1.209641821955578E13	6.803871761286124E12
1.2092112614497557E13	6.80851653575406E12
1.2087799357516906E13	6.813157001862544E12
1.2083478447822484E13	6.817793154696017E12
1.2079149884622863E13	6.822424989335065E12
1.2074813667126373E13	6.827052500856302E12
1.2070469794541295E13	6.831675684332371E12
1.2066118266076041E13	6.836294534831917E12
1.2061759080938984E13	6.840909047419414E12
1.2057392238338705E13	6.845519217155116E12
1.205301773748401E13	6.850125039094921E12
1.2048635577583848E13	6.854726508290289E12
1.2044245757847334E13	6.8593236197881045E12
1.203984827748367E13	6.863916368630561E12
1.203544313570227E13	6.868504749855105E12
1.2031030331712477E13	6.873088758494204E12
1.2026609864723697E13	6.87766838957533E12
1.2022181733945123E13	6.882243638120817E12
1.2017745938585773E13	6.886814499147783E12
1.2013302477854371E13	6.891380967668024E12
1.200885135095912E13	6.895943038687972E12
1.2004392557107686E13	6.900500707208612E12
1.1999926095507055E13	6.905053968225435E12
1.199545196536349E13	6.909602816728385E12
1.1990970165882264E13	6.914147247701864E12
1.1986480696267736E13	6.918687256124712E12
1.1981983555723074E13	6.92322283697018E12
1.1977478743450322E13	6.927753985205982E12
1.1972966258650146E13	6.93228069579428E12
1.196844610052198E13	6.936802963691705E12
1.1963918268263734E13	6.94132078384942E12
1.1959382761071955E13	6.945834151213158E12
1.195483957814165E13	6.950343060723244E12
1.1950288718666283E13	6.954847507314668E12
1.1945730181837783E13	6.959347485917139E12
1.1941163966846494E13	6.963842991455173E12
1.1936590072881316E13	6.96833401884808E12
1.1932008499129555E13	6.972820563010075E12
1.1927419244777006E13	6.977302618850309E12
1.1922822309008035E13	6.981780181272968E12
1.1918217691005523E13	6.986253245177328E12
1.1913605389951018E13	6.990721805457741E12
1.1908985405024678E13	6.99518585700375E12
1.1904357735405455E13	6.999645394700134E12
1.1899722380271064E13	7.004100413426914E12
1.189507933879805E13	7.008550908059414E12
1.1890428610161941E13	7.012996873468317E12
1.1885770193537172E13	7.017438304519654E12
1.1881104088097305E13	7.021875196074874E12
1.187643029301505E13	7.026307542990805E12
1.187174880746232E13	7.030735340119712E12
1.1867059630610316E13	7.03515858230928E12
1.186236276162955E13	7.039577264402689E12
1.1857658199690014E13	7.04399138123849E12
1.185294594396121E13	7.048400927650703E12
1.184822599361212E13	7.052805898468749E12
1.1843498347811385E13	7.057206288517431E12
1.183876300572732E13	7.06160209261697E12
1.1834019966527992E13	7.065993305582916E12
1.1829269229381158E13	7.070379922226133E12
1.1824510793454412E13	7.074761937352775E12
1.1819744657915344E13	7.079139345764244E12
1.1814970821931254E13	7.083512142257125E12
1.181018928466941E13	7.087880321623132E12
1.1805400045297027E13	7.092243878649147E12
1.1800603102981293E13	7.096602808117023E12
1.1795798456889273E13	7.100957104803649E12
1.1790986106188096E13	7.105306763480787E12
1.178616605004472E13	7.109651778915115E12
1.1781338287626178E13	7.113992145868059E12
1.1776502818099291E13	7.118327859095825E12
1.1771659640630844E13	7.122658913349259E12
1.1766808754387531E13	7.126985303373858E12
1.1761950158535771E13	7.131307023909591E12
1.1757083852241846E13	7.135624069690954E12
1.175220983467175E13	7.139936435446864E12
1.1747328104991174E13	7.144244115900594E12
1.1742438662365428E13	7.148547105769678E12
1.173754150595937E13	7.15284539976594E12
1.1732636634937344E13	7.157138992595426E12
1.172772404846313E13	7.161427878958304E12
1.1722803745699883E13	7.165712053548924E12
1.171787572580995E13	7.169991511055644E12
1.1712939987955014E13	7.174266246161027E12
1.1707996531295783E13	7.17853625354162E12
1.1703045354992066E13	7.182801527868047E12
1.169808645820272E13	7.187062063805012E12
1.1693119840085418E13	7.191317856011286E12
1.1688145499796736E13	7.195568899139791E12
1.1683163436492264E13	7.199815187837523E12
1.1678173649326166E13	7.204056716745731E12
1.1673176137451498E13	7.208293480499835E12
1.1668170900019977E13	7.212525473729596E12
1.1663157936182184E13	7.2167526910591045E12
1.165813724508732E13	7.220975127106919E12
1.1653108825883387E13	7.225192776486098E12
1.1648072677717346E13	7.229405633804309E12
1.1643028799734852E13	7.233613693663896E12
1.1637977191080635E13	7.237816950661999E12
1.1632917850898367E13	7.242015399390598E12
1.1627850778330867E13	7.246209034436631E12
1.1622775972520193E13	7.250397850382029E12
1.161769343260772E13	7.254581841803848E12
1.1612603157734428E13	7.258761003274233E12
1.1607505147040756E13	7.262935329360521E12
1.1602399399667062E13	7.267104814625292E12
1.1597285914753457E13	7.271269453626302E12
1.1592164691440273E13	7.275429240916578E12
1.1587035728867898E13	7.279584171044315E12
1.1581899026177014E13	7.283734238552903E12
1.157675458250884E13	7.287879437980814E12
1.1571602397005055E13	7.292019763861571E12
