Europa X	Europa Y
-6.365842325032202E11	-5.037874758194866E11
-6.058333315495701E11	-5.3764637813467535E11
-5.746258729610684E11	-5.707226822688875E11
-5.419679317819516E11	-6.002240664865992E11
-5.058208699752557E11	-6.279204882338474E11
-4.6863725180957446E11	-6.551706340229224E11
-4.312886160938764E11	-6.792126710971754E11
-3.9110616346314484E11	-7.000136836304099E11
-3.490718900402632E11	-7.201207789809668E11
-3.075917665767612E11	-7.378920361385818E11
-2.6466434191954312E11	-7.515097161713362E11
-2.193569370952938E11	-7.634572192350356E11
-1.7456092442018726E11	-7.739678205206385E11
-1.299457887393238E11	-7.802577938638121E11
-8.312264323214134E10	-7.835864902332561E11
-3.634095191332179E10	-7.859063901110192E11
9.04843689821353E9	-7.846462393556622E11
5.558963702387632E10	-7.793670865991523E11
1.0279581189710237E11	-7.727902470149094E11
1.4789980125127783E11	-7.637978944508213E11
1.9267808890880948E11	-7.50253322719716E11
2.383183270689486E11	-7.346882735598877E11
2.8194184280743085E11	-7.176831734232611E11
3.235844840631815E11	-6.965264253914315E11
3.656747679010569E11	-6.722885432324135E11
4.063246254487941E11	-6.472064453359944E11
4.437764069643047E11	-6.191162570270713E11
4.804563718482081E11	-5.871984570381364E11
5.163611560173767E11	-5.543053631317018E11
5.4864910652918555E11	-5.199083735761672E11
5.7854706220564E11	-4.817174342283578E11
6.078720501380549E11	-4.419482452582934E11
6.33845045569907E11	-4.019182390579739E11
6.560918539253569E11	-3.58970379423305E11
6.772022218794889E11	-3.1381375935954956E11
6.95812920101233E11	-2.6907534175599734E11
7.097941230633224E11	-2.229701789871399E11
7.216565579806481E11	-1.7435981068835425E11
7.317102627382963E11	-1.2628191463429108E11
7.371832345734592E11	-7.846763205507791E10
7.392146083560989E11	-2.8631056685910084E10
7.398536684363818E11	2.114990129118352E10
7.367104061285084E11	6.92555303930548E10
7.291089055780662E11	1.1812736079019417E11
7.197996330283129E11	1.675018805310063E11
7.080215953291215E11	2.145516393197316E11
6.915224616571782E11	2.605952417502112E11
6.724950771419952E11	3.072313294304771E11
6.521410509819152E11	3.51639674109115E11
6.276554484777048E11	3.9344872929824634E11
5.999003936147E11	4.352205910950408E11
5.713446347006393E11	4.753055621764452E11
5.400364571848924E11	5.1170528466758636E11
5.0494108071635767E11	5.468593215890085E11
4.691109512427598E11	5.809129017789347E11
4.3198954455448773E11	6.109471673585936E11
