Ganymede X	Ganymede Y
-6.359622413587526E11	-5.0527703035707544E11
-6.073152449009697E11	-5.385488719604296E11
-5.756521243538566E11	-5.694634492410581E11
-5.411134360859343E11	-5.992314682861063E11
-5.050198210584784E11	-6.282696260941488E11
-4.684728395326209E11	-6.55585555511337E11
-4.311903683495697E11	-6.798038124413213E11
-3.9196468272133203E11	-7.006586542410884E11
-3.502076038296466E11	-7.191848901186519E11
-3.067555215896487E11	-7.364202026499812E11
-2.630638462453134E11	-7.521268354240098E11
-2.1968088318945963E11	-7.64962870238228E11
-1.7575795066666568E11	-7.739654422735399E11
-1.3021337526664388E11	-7.796078615708951E11
-8.31586091487595E10	-7.831705777564017E11
-3.592695697183576E10	-7.852185613478861E11
1.0271567439820549E10	-7.849161680666738E11
5.5562801829492615E10	-7.80949921883254E11
1.0107883959660431E11	-7.73029785413674E11
1.4745269404718973E11	-7.622108000842064E11
1.9390359075264273E11	-7.496757880079578E11
2.3893216418962656E11	-7.353930611866882E11
2.818519790837631E11	-7.181613363394014E11
3.23402009741534E11	-6.970407018267397E11
3.6468252051538635E11	-6.72503268010103E11
4.0568246749191974E11	-6.45933066107884E11
4.4511248035438837E11	-6.181114264075792E11
4.8168869414900385E11	-5.884051757632463E11
5.1544007408836774E11	-5.555883673266945E11
5.4750174203985095E11	-5.193922809898356E11
5.786058591495571E11	-4.809470083339315E11
6.08077653737562E11	-4.415969470657452E11
6.34465019689247E11	-4.015197990054656E11
6.570522803182599E11	-3.596867000479725E11
6.765501702346274E11	-3.1522300733438696E11
6.941475318655596E11	-2.6860883205500522E11
7.100234015893888E11	-2.213179883730573E11
7.230479080213575E11	-1.7433310997357895E11
7.319796674442297E11	-1.2722952602969559E11
7.368375888548174E11	-7.886915064599176E10
7.388335971136243E11	-2.8961592096232224E10
7.389138537771727E11	2.1362288012334793E10
7.36644464046961E11	7.063660420347076E10
7.307140348836613E11	1.1850454766782614E11
7.204479736723661E11	1.658992405893367E11
7.066341678394601E11	2.1372958725144604E11
6.906505850068082E11	2.6157534804264175E11
6.729194930653304E11	3.079537276030136E11
6.525158828551659E11	3.518154454920322E11
6.283308567297692E11	3.9351969210148114E11
6.004526233910404E11	4.342130047918276E11
5.70192682388705E11	4.7430462182554755E11
5.387083377652983E11	5.128045428280606E11
5.0582864101991754E11	5.4828786658866296E11
4.704132586699722E11	5.803526508392037E11
4.3182376751396356E11	6.099400269376478E11
3.908652646882566E11	6.381164280531178E11
3.490508748982948E11	6.646905426822252E11
3.0703221224870337E11	6.883242732277092E11
2.6406102345576572E11	7.079919451574026E11
2.1906153648182278E11	7.240714632130374E11
1.720870195419798E11	7.378508262478771E11
1.244860295960335E11	7.49972570433835E11
7.754199278367906E10	7.596423062852291E11
3.1199947967076283E10	7.655415329494238E11
-1.5635664597768925E10	7.673378354173508E11
-6.363333433491549E10	7.660599266423538E11
-1.1205555465036456E11	7.629328704377833E11
-1.5940861709240536E11	7.579941504363723E11
-2.0496116939716788E11	7.501019469380887E11
-2.493794715432869E11	7.382987648948237E11
-2.937830106659553E11	7.229637718344618E11
-3.3828256325314667E11	7.054753565619044E11
-3.816475039847595E11	6.867048134185225E11
-4.225678351402454E11	6.660830311141771E11
-4.6101958939510455E11	6.423714870508307E11
-4.981312212071399E11	6.152110487471528E11
-5.347361082404415E11	5.856543037867698E11
-5.702598434123306E11	5.550806352188142E11
-6.032547665106215E11	5.2370924276610297E11
-6.329776359288538E11	4.9048926740052E11
-6.601273923392262E11	4.544741123498814E11
-6.85924317532862E11	4.1604945038741705E11
-7.106167678226685E11	3.7663393186316833E11
-7.331104622090066E11	3.371953117139767E11
-7.521643501933958E11	2.972947212031803E11
-7.677424660654965E11	2.5576377849838318E11
-7.809851538117739E11	2.1219155619027286E11
-7.928731400749247E11	1.6755218197000635E11
-8.030539064724012E11	1.2327527629074538E11
-8.101924882749441E11	7.974896492118478E10
-8.13502689405846E11	3.6022099615218864E10
-8.136492553194221E11	-8.92223690132619E9
-8.119707195167604E11	-5.482163176892264E10
-8.089303385102518E11	-1.0026210570687418E11
-8.035666806570061E11	-1.4415988368315637E11
-7.94645087028259E11	-1.8687627285402768E11
-7.821290702136655E11	-2.2961422696728415E11
-7.672367627907516E11	-2.728558693896919E11
-7.510704837801161E11	-3.1566190492900146E11
-7.33397693604909E11	-3.565982977286839E11
-7.129785023661813E11	-3.9524722001983905E11
-6.890744331275007E11	-4.325224639049791E11
-6.623459768880868E11	-4.6946063725868713E11
-6.34169291224107E11	-5.059119299780544E11
-6.051691286946149E11	-5.405689019158667E11
-5.745808522589246E11	-5.723086035868116E11
-5.4121790400602167E11	-6.013718267884629E11
-5.049585462220326E11	-6.289631340355928E11
-4.670088017891133E11	-6.557407122914453E11
-4.286441491647332E11	-6.809251409373466E11
-3.898418318045796E11	-7.030691904199417E11
-3.4941960086159076E11	-7.216629811310038E11
-3.065934792187192E11	-7.376437975944731E11
-2.6204345994820135E11	-7.52177505967556E11
-2.1725496774670416E11	-7.652217600915103E11
-1.7296017569043204E11	-7.755095032807734E11
-1.2845437915754242E11	-7.819512889172915E11
-8.259903816193958E10	-7.848473418621637E11
-3.532292060492465E10	-7.854617080656898E11
1.2148233042612392E10	-7.845233804910514E11
5.851048484691174E10	-7.813877910241451E11
1.0366872093574313E11	-7.747433421907932E11
1.486712951442894E11	-7.640986376019453E11
1.9431104356898386E11	-7.503560513613379E11
2.4002678521587027E11	-7.347876071789916E11
2.8434197543201697E11	-7.176160267502267E11
3.263429941264962E11	-6.977708130680765E11
3.6658198074203955E11	-6.741445971747426E11
4.0626714966617896E11	-6.470026794539601E11
4.4560042923692456E11	-6.177650077608612E11
4.833437648616395E11	-5.873959431860289E11
5.181033488998449E11	-5.553723280416553E11
5.497933670124181E11	-5.2042297941900555E11
5.7956296673738E11	-4.821757054783195E11
6.08238441469889E11	-4.4174004830990875E11
6.352083465429279E11	-4.005174778128588E11
6.590259133038545E11	-3.5875881516853204E11
6.789282328567605E11	-3.1547848500392285E11
6.955789322145531E11	-2.6977004718052374E11
7.101898174858136E11	-2.2205314684491672E11
7.230151354174335E11	-1.7378048549749445E11
7.330058648053019E11	-1.2598208116685179E11
7.389266853984702E11	-7.834071690541963E10
7.406872765048888E11	-2.9752815539882427E10
7.394492363026752E11	2.0192925118744743E10
7.362750844603866E11	7.045628272930919E10
7.308523266380652E11	1.1950583369236731E11
7.21855220738164E11	1.6687765343484134E11
7.085183238816732E11	2.1350958248987827E11
6.916396262896022E11	2.6042323398720004E11
6.72736425787917E11	3.071985421679544E11
6.522325424216461E11	3.5220478506146967E11
6.290160739336348E11	3.943961286660689E11
6.019297317236279E11	4.343902346988674E11
5.713566285835018E11	4.735081113619933E11
5.3893225688032495E11	5.118941147279967E11
5.056200721299606E11	5.481017348469744E11
4.706674144564809E11	5.807732841286895E11
4.327767966526706E11	6.101646690527848E11
3.91918973121287E11	6.376472674826486E11
3.4956421759056555E11	6.638552559537069E11
3.070438573783E11	6.877815546237272E11
2.641377809503434E11	7.079688783401771E11
2.1963270570479935E11	7.241786314491329E11
1.7298705213889355E11	7.375523291494459E11
1.2517598946810558E11	7.492021665865253E11
7.775242713951793E10	7.588449053716057E11
3.120898015600345E10	7.65132323603663E11
-1.5343125021823563E10	7.672481614962026E11
-6.291779207882871E10	7.658246245364246E11
-1.1128744992847351E11	7.622523338268519E11
-1.589738206566041E11	7.57097984673161E11
-2.0477984007979822E11	7.493845328017816E11
-2.4910696770429626E11	7.378068004393501E11
-2.932974375612511E11	7.224346816362633E11
-3.377790959716065E11	7.047787355180675E11
-3.8121512505723755E11	6.860225345165187E11
-4.2197430618595135E11	6.654497809918904E11
-4.6024565198833795E11	6.414617577466771E11
-4.976144208877631E11	6.139452122957653E11
-5.347164738180414E11	5.845675823615168E11
-5.701760139740107E11	5.546608010618959E11
-6.023386349786046E11	5.2348376884252527E11
-6.314758421710347E11	4.894570052348741E11
-6.591650410343547E11	4.525331155471241E11
-6.86034482132867E11	4.142946621843445E11
-7.109273325160392E11	3.760320044181608E11
-7.323206755709528E11	3.372805801558811E11
-7.502062389934186E11	2.9662029711707983E11
-7.65977247138397E11	2.5368327336039456E11
-7.80597795899699E11	2.0974378899004187E11
-7.933596317246611E11	1.663186718159638E11
-8.026691202084507E11	1.2342056238002498E11
-8.080788112390375E11	7.964130911521794E10
-8.109062806183287E11	3.4188823253537315E10
-8.124997986423677E11	-1.185303832032996E10
-8.1241911810939E11	-5.6702910112794304E10
-8.089074018096876E11	-1.0012112441905785E11
-8.013588140394507E11	-1.4369071987814487E11
-7.91314039809559E11	-1.8835683394214188E11
-7.802704369883218E11	-2.3280789829153152E11
-7.675323775774055E11	-2.751688683289699E11
-7.512717273350668E11	-3.1554681850281287E11
-7.312805364126882E11	-3.5565257775102014E11
-7.092584179157717E11	-3.9608650372122955E11
-6.864151811318949E11	-4.3543607327487885E11
-6.620126639153069E11	-4.721242801797711E11
-6.34528160140439E11	-5.062915124130711E11
-6.037501436415715E11	-5.393693729669457E11
-5.710605793492302E11	-5.720365185454575E11
-5.3773001370927905E11	-6.03328656266113E11
-5.0356276698871967E11	-6.317573584425096E11
-4.6729063643513074E11	-6.56929972897682E11
-4.282111808030591E11	-6.79895762266662E11
-3.871643777678701E11	-7.017477813703195E11
-3.4561685216897363E11	-7.222354422334124E11
-3.041259971879087E11	-7.400094281636572E11
-2.61844026739571E11	-7.54046124094035E11
-2.1759420909235596E11	-7.648080648442163E11
-1.7150591207404926E11	-7.7369758845512E11
-1.250918722658607E11	-7.812323109934493E11
-7.9572727536163E10	-7.863209978018503E11
-3.452174960400479E10	-7.87479909758445E11
