Halley's Comet X	Halley's Comet Y
-3.056501785807322E12	3.9078167146237993E12
-3.055781006264994E12	3.912256881004743E12
-3.055022397793366E12	3.9166486157848833E12
-3.054226035567142E12	3.920991949203727E12
-3.053391993689911E12	3.9252869103277285E12
-3.0525203452066284E12	3.929533527056042E12
-3.0516111621152827E12	3.9337318261265557E12
-3.050664515378531E12	3.9378818331222534E12
-3.049680474934228E12	3.941983572477529E12
-3.0486591097055825E12	3.946037067483469E12
-3.0476004876123755E12	3.9500423402938135E12
-3.0465046755809033E12	3.9539994119318296E12
-3.045371739553196E12	3.9579083022961035E12
-3.0442017444962354E12	3.961769030166319E12
-3.042994754410842E12	3.96558161320888E12
-3.041750832340744E12	3.969346067982735E12
-3.040470040380656E12	3.973062409945849E12
-3.039152439683307E12	3.9767306534601016E12
-3.03779809046724E12	3.9803508117961187E12
-3.036407052024194E12	3.983922897138791E12
-3.034979382725802E12	3.9874469205922837E12
-3.033515140029868E12	3.99092289218504E12
-3.032014380485744E12	3.994350820873748E12
-3.0304771597406133E12	3.9977307145471904E12
-3.028903532545179E12	4.0010625800310234E12
-3.027293552757856E12	4.0043464230914497E12
-3.02564727334932E12	4.0075822484380938E12
-3.023964746406796E12	4.010770059726934E12
-3.022246023138327E12	4.0139098595628545E12
-3.0204911538766587E12	4.0170016495026777E12
-3.018700188081658E12	4.0200454300570464E12
-3.016873174343458E12	4.023041200691152E12
-3.0150101603857764E12	4.0259889598263853E12
-3.0131111930680835E12	4.028888704841342E12
-3.011176318387749E12	4.0317404320721597E12
-3.00920558148166E12	4.0345441368122803E12
-3.007199026628065E12	4.037299813311311E12
-3.005156697249038E12	4.040007454774568E12
-3.003078635911405E12	4.0426670533622246E12
-3.000964884327666E12	4.045278600186745E12
-2.998815483357767E12	4.0478420853105293E12
-2.996630473010346E12	4.0503574977433413E12
-2.9944098924442563E12	4.0528248254393247E12
-2.9921537799694663E12	4.0552440552938047E12
-2.9898621730480156E12	4.057615173138503E12
-2.987535108296431E12	4.0599381637371504E12
-2.985172621487486E12	4.0622130107816855E12
-2.9827747475516997E12	4.064439696887097E12
-2.98034152057955E12	4.066618203586151E12
-2.9778729738239204E12	4.068748511323595E12
-2.9753691397035967E12	4.0708305994507427E12
-2.97283004980647E12	4.072864446220516E12
-2.970255734892528E12	4.0748500287812627E12
-2.967646224898419E12	4.076787323170553E12
-2.9650015489424404E12	4.0786763043099785E12
