Io X	Io Y
-6.356335087030197E11	-5.0419214754965216E11
-6.066540479632626E11	-5.376834278923135E11
-5.74853961801618E11	-5.704908357894763E11
-5.409030684517594E11	-6.001169821475103E11
-5.064321333441357E11	-6.283637221509894E11
-4.6910600768466833E11	-6.551866253205981E11
-4.3044252768976013E11	-6.785252909804447E11
-3.9130795858402246E11	-7.005862862653661E11
-3.495334767830213E11	-7.20519373934041E11
-3.0725308122405884E11	-7.368599499870906E11
-2.6450864327140393E11	-7.519429435190312E11
-2.1954972369605484E11	-7.64201601542722E11
-1.7484921985124384E11	-7.72940133098833E11
-1.296510117006437E11	-7.803782676068059E11
-8.285641978669522E10	-7.843690449211584E11
-3.7058674684880424E10	-7.851733102541692E11
9.270696886588787E9	-7.844991562102473E11
5.636195237020733E10	-7.799567318795931E11
1.0189608246522362E11	-7.726061864398917E11
1.4787233050515024E11	-7.635528902657582E11
1.936805276274928E11	-7.503997066989729E11
2.3750993981639398E11	-7.349877025233008E11
2.816214848977341E11	-7.175446977148217E11
3.2454700916038477E11	-6.960719156970648E11
3.652413065867977E11	-6.728776203344752E11
4.0587136029547125E11	-6.473851243089427E11
4.4434479398506116E11	-6.181862406672698E11
4.804596910295396E11	-5.877764623220969E11
5.160281702002811E11	-5.548691570229958E11
5.4861017339232324E11	-5.188085543086212E11
5.788305272867173E11	-4.820391351246285E11
6.079228309184138E11	-4.426664630809417E11
6.333019855878588E11	-4.009968955704046E11
6.564379313015481E11	-3.590076915347104E11
6.777430521191339E11	-3.1451461424234845E11
6.949110377100752E11	-2.6864232859042514E11
7.099634098360321E11	-2.2278992457488257E11
7.225120237673113E11	-1.7472065849132474E11
7.307563382447203E11	-1.2636547914878412E11
7.370662618447874E11	-7.823898784163524E10
7.402092372453871E11	-2.8437585664898327E10
7.391819963600166E11	2.0626895583292522E10
7.363469603743655E11	6.92804337178851E10
7.298631135541678E11	1.188865222377499E11
7.195981091517496E11	1.6683433371728824E11
7.076252582643407E11	2.1420735048890588E11
6.917506537382627E11	2.6168261370100168E11
6.726932627121783E11	3.067100223686982E11
6.520119217997766E11	3.5105580519112897E11
6.273417263346907E11	3.9449572203959235E11
6.002947248462446E11	4.349543759483798E11
5.716273914033594E11	4.745901209970408E11
5.3922243213166504E11	5.123885615251153E11
5.05281081862145E11	5.4689505891386536E11
4.6974711759562823E11	5.804068340756554E11
4.3096843929919885E11	6.111337793587546E11
3.915161334734017E11	6.385533910651837E11
3.5044613414694934E11	6.647236259686849E11
3.0687369974821893E11	6.873865045635023E11
2.633730607442274E11	7.069267350374045E11
2.1833323165559412E11	7.24911110348367E11
1.7170489095844537E11	7.388924374591307E11
1.2574523871572441E11	7.500546750155676E11
7.842746069288051E10	7.593323713965887E11
3.049552544389084E10	7.643470133111088E11
-1.6311866611113873E10	7.670076848894027E11
-6.427725302619462E10	7.673757733023967E11
-1.1177579144026959E11	7.635244411531609E11
-1.57929319703965E11	7.57801360975101E11
-2.048424338241522E11	7.494522978671866E11
-2.5032753631337817E11	7.371757777016205E11
-2.9437165048942426E11	7.234783682182836E11
-3.3867620246302515E11	7.068049034171946E11
-3.806923860776367E11	6.867811360858928E11
-4.2136790639843304E11	6.656794829113956E11
-4.6165624686347766E11	6.414287198144548E11
-4.9903170838942426E11	6.145755141500161E11
-5.351610825883604E11	5.868639586899437E11
-5.701794171310023E11	5.560012463828613E11
-6.019138339559681E11	5.2331975602102045E11
-6.324770530736088E11	4.899052434678978E11
-6.612434561860637E11	4.535200103895207E11
-6.865586345252809E11	4.161877796455919E11
-7.108121598709784E11	3.7810896717515674E11
-7.324947229170002E11	3.3744801249747675E11
-7.508465405721473E11	2.966631411383091E11
-7.680952422762195E11	2.5507197579726358E11
-7.821647577660879E11	2.1147471360296674E11
-7.931923099715376E11	1.6846089994873108E11
-8.029846354631727E11	1.2451711588697502E11
-8.091029434854739E11	7.936847645257758E10
-8.126771561904949E11	3.532775557473979E10
-8.147233514415658E11	-9.679086048170702E9
-8.128515987483342E11	-5.4969684643465675E10
-8.089399483065247E11	-9.884000124644913E10
-8.031198749774359E11	-1.4357968128198386E11
-7.934200863979358E11	-1.8771286018298706E11
-7.821243366920167E11	-2.3026818933173007E11
-7.686126230008228E11	-2.734278645861796E11
-7.514463788990325E11	-3.1509911944585187E11
-7.331358029302279E11	-3.5518448263372314E11
-7.121888009037896E11	-3.9547107527640155E11
-6.88101203280247E11	-4.334581398789892E11
-6.631709233881533E11	-4.699968534838831E11
-6.353518353895312E11	-5.061622416656891E11
-6.05077949246736E11	-5.393972343078208E11
-5.741424633146215E11	-5.713784799827444E11
-5.401740036073816E11	-6.022178125769739E11
-5.0462674308543677E11	-6.297383065032266E11
-4.683932243210043E11	-6.561752276987776E11
-4.2925443893959924E11	-6.806087209521917E11
-3.8942916952370776E11	-7.016320777240205E11
-3.487666081063563E11	-7.216119114776375E11
-3.056486328837264E11	-7.387825833965681E11
-2.6259276683587808E11	-7.526719547874362E11
-2.186565353885142E11	-7.653601408029092E11
-1.7288785012472556E11	-7.746219064015544E11
-1.2783914129045564E11	-7.808380480264105E11
-8.182458986106055E10	-7.856142332316984E11
-3.483835429748068E10	-7.864698204928815E11
1.0919363918951422E10	-7.847366134045757E11
5.7601742046540474E10	-7.81188318456376E11
1.0423115792330304E11	-7.734784501336674E11
1.4930684871473892E11	-7.63700873643738E11
1.951485616581503E11	-7.515802672508202E11
2.3979391749481973E11	-7.354019015569589E11
2.828475588737332E11	-7.17682016176073E11
3.262162650264957E11	-6.970758091333875E11
3.673023622240975E11	-6.729192251586616E11
4.069775814933631E11	-6.476132307623667E11
4.461426093582841E11	-6.188879890535938E11
4.82195630924266E11	-5.875819011443357E11
5.170833174362581E11	-5.551496927432249E11
5.504142538338652E11	-5.19257706508704E11
5.802585309762712E11	-4.8170062296038885E11
6.088957226569747E11	-4.4301585389452826E11
6.35029293329669E11	-4.011840300211826E11
6.575466626984255E11	-3.586131848961838E11
6.787076996805482E11	-3.148774990981413E11
6.965018323418069E11	-2.6861707842671286E11
7.107953827754191E11	-2.2247140696232428E11
7.23493674527055E11	-1.7511559811764026E11
7.320947800957113E11	-1.2616158086450804E11
7.376769296550546E11	-7.807303366144914E10
7.412102912875906E11	-2.8753690881075962E10
7.402548804552974E11	2.0904424043038704E10
7.368756602726334E11	6.926849351718549E10
7.308331363444487E11	1.1866937773907233E11
7.203832952982177E11	1.6699590371014935E11
7.08246962871439E11	2.1409342165227362E11
6.92461395326469E11	2.616134538094479E11
6.733932734490265E11	3.0656401839034705E11
6.526807886045862E11	3.511513294050252E11
6.276827597345118E11	3.9420654565617413E11
6.013263894142057E11	4.347496564458026E11
5.718836652639105E11	4.7489987079224335E11
5.3968193963419025E11	5.1157872091592084E11
5.064036616822441E11	5.4711634753932245E11
4.6950826056317456E11	5.802884508191746E11
4.3196321183831226E11	6.1024149484706E11
3.9211340769969446E11	6.391210319114232E11
3.502538157720282E11	6.639215165615769E11
3.08175919312086E11	6.869898694794799E11
2.6332370349817422E11	7.072168132166073E11
2.187046885475673E11	7.237966178988806E11
1.726866791787845E11	7.389389525214713E11
1.2555960673957938E11	7.497255147170522E11
7.917506219047507E10	7.58521648137624E11
3.093147266007426E10	7.64274836616583E11
-1.6013739084422531E10	7.663780447646066E11
-6.3818149564729935E10	7.668651597661879E11
-1.1118954969818054E11	7.628799755850582E11
-1.5761451218831958E11	7.575597955514241E11
-2.0462043685102744E11	7.483643880024476E11
-2.493224618235779E11	7.368420004371802E11
-2.9465916077944464E11	7.229820823601222E11
-3.3774711021637415E11	7.054510424825693E11
-3.8014906634145825E11	6.86882265856146E11
-4.2149788725091736E11	6.643179628297942E11
-4.6037356707701996E11	6.406599306850449E11
-4.991092723588456E11	6.141519094695917E11
-5.3452028361950134E11	5.853984873723235E11
-5.69422152031947E11	5.554900428359701E11
-6.016130920602328E11	5.222859183266203E11
-6.317730254060161E11	4.888919963307423E11
-6.60511001065381E11	4.523764000258505E11
-6.85878671476694E11	4.154976360444843E11
-7.104489797641284E11	3.7648253233541675E11
-7.310527468953433E11	3.36616013856381E11
-7.508911250453458E11	2.957341259040712E11
-7.667276548422882E11	2.5329003020196133E11
-7.813139677195104E11	2.110724417092035E11
-7.925770529656412E11	1.6672966948877475E11
-8.015441708403557E11	1.2345431621365675E11
-8.082470371544629E11	7.81623982311911E10
-8.116580393860938E11	3.4136713896954338E10
-8.135210065494298E11	-1.1274344248047785E10
-8.114489890420988E11	-5.5640986512723564E10
-8.08317435831078E11	-1.0041122121260852E11
-8.009935933562218E11	-1.449044729551245E11
-7.926231606312141E11	-1.8829936778260007E11
-7.806414623792858E11	-2.3228032568706573E11
-7.667558109579698E11	-2.7399509876311383E11
-7.505446529661497E11	-3.164372148012826E11
-7.31168215812568E11	-3.564520198382339E11
-7.107557026551874E11	-3.962736731263018E11
-6.8648358457259E11	-4.345470385608247E11
-6.615972294028795E11	-4.710739054073108E11
-6.332962374537366E11	-5.070668832592251E11
-6.038339400567781E11	-5.4004069116843054E11
-5.721614678930912E11	-5.728641449510625E11
-5.382680172667001E11	-6.022383802818518E11
-5.035793848799747E11	-6.309386560125521E11
-4.6581130350417676E11	-6.568878948730135E11
-4.2807880725486487E11	-6.805907637120073E11
-3.876396148025506E11	-7.029486735240594E11
-3.466170571649376E11	-7.215553800923691E11
-3.044978418292577E11	-7.393509686350449E11
-2.606196417216147E11	-7.532268747822957E11
-2.1713641783534775E11	-7.655295954297783E11
-1.7132531620670685E11	-7.747996084149086E11
-1.2651955837545308E11	-7.811919697517926E11
-7.9888935704445E10	-7.857398664859607E11
-3.3880378627110744E10	-7.86227504296033E11
1.2407890435417374E10	-7.855288529022593E11
5.929160717985053E10	-7.806318571307272E11
1.0464139879363382E11	-7.737084368628384E11
1.5113899832477765E11	-7.641352867211307E11
1.9596239410432254E11	-7.507579066061814E11
2.4039425784926587E11	-7.361260411706886E11
2.845831889272042E11	-7.174091791270016E11
3.2636018877363684E11	-6.967092879491449E11
3.6836814926724554E11	-6.737004198538362E11
4.080149474308193E11	-6.469584318769501E11
4.461273952862697E11	-6.192451572243754E11
4.834142596058474E11	-5.878837193426564E11
5.173754027857988E11	-5.547449769702979E11
5.508092463278368E11	-5.19834926255834E11
5.81064107618732E11	-4.817125466635183E11
6.091253796304308E11	-4.4320091471934045E11
6.355299787196111E11	-4.0162312818705054E11
6.579343385144722E11	-3.589503365064976E11
6.791434076152325E11	-3.152094633529603E11
6.965652202919484E11	-2.6898788190309714E11
7.113858354582567E11	-2.2320648746968753E11
7.238448264906112E11	-1.7504004833242584E11
7.32072253757802E11	-1.2715210842110948E11
7.387923042686176E11	-7.850060518441357E10
7.409649712553325E11	-2.89284604048938E10
7.408502841710969E11	1.94929547171255E10
7.377335792488882E11	6.933423570200699E10
7.30451917970628E11	1.1785561674795383E11
7.21580505376356E11	1.6597549882943927E11
7.084574108555602E11	2.1427942294607248E11
6.927217223630093E11	2.6020965599822427E11
6.746705687236873E11	3.0639764785333276E11
6.524154510747174E11	3.506428381281247E11
6.288416127539309E11	3.93038486520356E11
6.017334153403799E11	4.350172456715589E11
5.720992399678538E11	4.736405249162171E11
5.409327126775471E11	5.116172766255716E11
5.0613150028361975E11	5.4667595231470416E11
4.708428984298201E11	5.795529678478585E11
4.3209350810423724E11	6.106009332484463E11
3.92706769512072E11	6.380042932108234E11
3.5110893159289746E11	6.643185401060063E11
3.080075557616967E11	6.863463460068721E11
2.6442744660299588E11	7.070450916271042E11
2.185071130052799E11	7.239873301437743E11
1.7330900726985864E11	7.382855532599344E11
1.2593335331456761E11	7.501924580852208E11
7.91036416870519E10	7.579747872839705E11
3.1634691098486404E10	7.643596168981522E11
-1.6480094752897173E10	7.663334877980114E11
-6.334599263441496E10	7.664648619900082E11
-1.1151596483347261E11	7.632832150392662E11
-1.5763098158362122E11	7.57036387390581E11
-2.0459571714902545E11	7.487354671684923E11
-2.4971648299114224E11	7.364432064991105E11
-2.94604758761717E11	7.229671196297527E11
-3.3825493900231146E11	7.05241996212366E11
-3.804438922350651E11	6.866467300635333E11
-4.2193226045427075E11	6.641015653008682E11
-4.609660686319777E11	6.406009369284497E11
-4.994991091550142E11	6.136046676249171E11
