Jupiter X	Jupiter Y
-6.360622851027994E11	-5.042137741624276E11
-6.06390655278878E11	-5.380086319828797E11
-5.747677305416282E11	-5.70070548537321E11
-5.4128773266239343E11	-6.002879452844061E11
-5.060508487781854E11	-6.285549896485723E11
-4.69163369676627E11	-6.547689587478328E11
-4.307375081804028E11	-6.788339974445345E11
-3.9089136843641205E11	-7.006574596974729E11
-3.497488305818802E11	-7.201539957702301E11
-3.0743874089780005E11	-7.372426715790793E11
-2.6409562231908234E11	-7.518505204055121E11
-2.1985896992311423E11	-7.639097767815175E11
-1.748732450242957E11	-7.733614582312429E11
-1.2928741977144028E11	-7.801522456216877E11
-8.325510676745047E10	-7.842384336950344E11
-3.6933073231711075E10	-7.855828964849773E11
9.517654104851532E9	-7.841590131286415E11
5.593324209270277E10	-7.799478022735328E11
1.0214674556641974E11	-7.729410612226232E11
1.479894967836812E11	-7.631388171292162E11
1.9329070194954083E11	-7.505530650711676E11
2.37879315236874E11	-7.352045165023427E11
2.8158307244854144E11	-7.171264655234668E11
3.2423074953742194E11	-6.96361886843037E11
3.65651320056137E11	-6.729661386371093E11
4.056764602572063E11	-6.470045258754836E11
4.441399965373533E11	-6.185555512655876E11
4.8087998940657025E11	-5.877076871486664E11
5.15737910512699E11	-5.545624821553884E11
5.4856173656860925E11	-5.192314227749036E11
5.792045650553772E11	-4.818383570422749E11
6.075278268243706E11	-4.42516707153594E11
6.334004648468507E11	-4.014117415860928E11
6.567013166594015E11	-3.58677522098045E11
6.77318005417433E11	-3.14478926053486E11
6.951503789797506E11	-2.6898798999326886E11
7.101087196192617E11	-2.223859771658547E11
7.22117072590551E11	-1.7486022607296155E11
7.311115326290715E11	-1.2660521164126288E11
7.370429767746278E11	-7.781957417680528E10
7.398752162826381E11	-2.8707187264151417E10
7.395879978055135E11	2.0526738745737057E10
7.361747089265875E11	6.967417425471889E10
7.296454055225057E11	1.1852747207572487E11
7.200236599030112E11	1.6687899641326373E11
7.073493570320662E11	2.145240740462411E11
6.916759571214454E11	2.612604875346575E11
6.730726833854087E11	3.068917203853128E11
6.516213951693976E11	3.5122604153533136E11
6.274192034863385E11	3.940793486111449E11
6.005741055540682E11	4.352746541377842E11
5.712075428133131E11	4.7464459916229944E11
5.394508121681669E11	5.120311943340067E11
5.054468837151245E11	5.472876570310959E11
4.6934645913887915E11	5.80277655168258E11
4.313101771841654E11	6.108774683752769E11
3.915039389835561E11	6.38974968669923E11
3.501013417410833E11	6.644711867904589E11
3.0727941429618677E11	6.872800117730862E11
2.6322079303909232E11	7.073286333382195E11
2.181094489609302E11	7.24556717421907E11
1.7213263002345483E11	7.389175574507262E11
1.2547663321294655E11	7.50376966330349E11
7.832952939315305E10	7.58913748783715E11
3.087655517610449E10	7.645191277481417E11
-1.669710982433383E10	7.671963955185323E11
-6.421039093563315E10	7.669602434881287E11
-1.114842692187336E11	7.638367221942369E11
-1.5834546101836118E11	7.578625450281672E11
-2.046232697714573E11	7.490848563158715E11
-2.501539973939938E11	7.375603983484297E11
-2.9477778033433844E11	7.233547743143402E11
-3.383423614159498E11	7.065423856450724E11
-3.807004686548325E11	6.872053418672667E11
-4.217131560327522E11	6.654333771854393E11
-4.612465592372136E11	6.413232105771835E11
-4.991756555963442E11	6.149778561531659E11
-5.3538099353434686E11	5.865055943499514E11
-5.697524386965859E11	5.560205826574854E11
-6.021858147481902E11	5.2364124767102966E11
-6.325860097574287E11	4.894907237808461E11
-6.608640343115796E11	4.5369570480054846E11
-6.869401257016022E11	4.163865096335031E11
-7.107404411511506E11	3.776957362216037E11
-7.322008162781804E11	3.377592400025589E11
-7.512630590735286E11	2.9671440903393695E11
-7.678778247740621E11	2.5470119618082117E11
-7.82001965487039E11	2.118601861168407E11
-7.936012890830593E11	1.6833362397296295E11
-8.026474062486035E11	1.24263892981854E11
-8.091211176535167E11	7.979457513926523E10
-8.130088940048816E11	3.506864771719179E10
-8.143056726483717E11	-9.769868732861332E9
-8.1301218482923E11	-5.4578589406055984E10
-8.091376293147892E11	-9.921493726469151E10
-8.026969689623745E11	-1.435379050918108E11
-7.937135098987832E11	-1.8740674561184802E11
-7.822158837641616E11	-2.3068313605191525E11
-7.682409276153948E11	-2.7322911988722702E11
-7.518308723300249E11	-3.1491004956339453E11
-7.330358400372836E11	-3.555923331309604E11
-7.119117163623367E11	-3.9514571819140283E11
-6.885219791508907E11	-4.3344141691924695E11
-6.629351485603894E11	-4.70354730881326E11
-6.352275962346964E11	-5.057629622841897E11
-6.054808520324294E11	-5.3954830423791095E11
-5.73783769936158E11	-5.715952329229633E11
-5.4023070055744244E11	-6.017936308971913E11
-5.0492289502973627E11	-6.30036263219062E11
-4.679664470003047E11	-6.562217894176902E11
-4.294745035632542E11	-6.802527972923296E11
-3.895650508524441E11	-7.020386256132179E11
