Sun X	Sun Y
2.6822242585529956E8	9.183498438132226E8
2.307428102279964E8	9.48624870993676E8
1.9156332842184952E8	9.770578734032766E8
1.5057614079668966E8	1.0037547604896977E9
1.0765983813020796E8	1.0284648215440109E9
6.2846799122548066E7	1.0507724965720989E9
1.6658313650134563E7	1.0702932952206227E9
-3.0392621125737045E7	1.087230905213858E9
-7.812780626423863E7	1.1019364370285695E9
-1.2684371365380108E8	1.1147138640525374E9
-1.7687736056572452E8	1.125213769591006E9
-2.2811405682289284E8	1.1329871554593256E9
-2.8011533057471645E8	1.1376866037048721E9
-3.324034664323239E8	1.1394873475048425E9
-3.849206072264447E8	1.138558980316338E9
-4.376722007030567E8	1.134920380115599E9
-4.905873847621054E8	1.1283013736601486E9
-5.431947470292591E8	1.1186476906818583E9
-5.952386946546668E8	1.10619906685306E9
-6.466751721376137E8	1.0912706338640459E9
-6.978405863931985E8	1.073862556061279E9
-7.48709029791454E8	1.0535388620088058E9
-7.988970154613367E8	1.0299493103456296E9
-8.476790074092067E8	1.0031068288491824E9
-8.946895958556961E8	9.735375505395873E8
-9.399361041784E8	9.416435252211269E8
-9.836833885372375E8	9.07577629234208E8
-1.025905737386656E9	8.710630860672545E8
-1.0662873071257714E9	8.320837701631585E8
-1.1045115379913082E9	7.907674925092809E8
-1.140491921985731E9	7.474851833650185E8
-1.1743568551810818E9	7.022331254693325E8
-1.20594173959256E9	6.549017586132529E8
-1.2348378313339884E9	6.054263116234748E8
-1.260526769595079E9	5.542681295015628E8
-1.2830277367451074E9	5.020376653689989E8
-1.3026480585929165E9	4.491407901808937E8
-1.319804839175707E9	3.9544337881988585E8
-1.3343074497491076E9	3.406335006219749E8
-1.3457593113801973E9	2.8473127836530614E8
-1.3537295000225308E9	2.281444915316477E8
-1.3583089767727644E9	1.7144380953887087E8
-1.359693729236786E9	1.1484151008388028E8
-1.3580186499882343E9	5.840382439751117E7
-1.3530917268056228E9	2189706.9760357575
-1.3448506777886784E9	-5.3340911162645236E7
-1.333503007123918E9	-1.078272699262667E8
-1.3194783786514223E9	-1.6106884664254472E8
-1.3029935909990146E9	-2.1336700403033376E8
-1.2837972379320621E9	-2.6481824885652757E8
-1.2615411111703687E9	-3.152238092856525E8
-1.2361161205034509E9	-3.638946178277652E8
-1.2079958760970562E9	-4.103434095344655E8
-1.1777057324640033E9	-4.5444586958871716E8
-1.1455929033771358E9	-4.9648051480221546E8
-1.1115057088948107E9	-5.365476089005919E8
-1.075419461442486E9	-5.744499745176777E8
-1.0374473023295637E9	-6.098696323601245E8
-9.980367862775533E8	-6.4271162257518E8
-9.573082567290089E8	-6.731711895083709E8
-9.152100068643134E8	-7.012545032079359E8
-8.716011388387116E8	-7.266887934686028E8
-8.268362022374911E8	-7.489636156369E8
-7.815288498761916E8	-7.680066648412672E8
-7.362373463291317E8	-7.841120147637604E8
-6.909764465272661E8	-7.978440392148566E8
-6.454541228095677E8	-8.092619707385671E8
-5.995275186677036E8	-8.18154083323677E8
-5.534372495869713E8	-8.2409714027274E8
-5.0769900293200904E8	-8.271342133421937E8
-4.6256072405789715E8	-8.274720664469011E8
-4.1808188789085275E8	-8.253619474545095E8
-3.742026558606735E8	-8.20704582528233E8
-3.3124095209593576E8	-8.134100574812762E8
-2.895454681998177E8	-8.03596220943174E8
-2.493890574445928E8	-7.917162109198042E8
-2.1048813310879573E8	-7.781292063677671E8
-1.7259275141131786E8	-7.627476790111091E8
-1.3565416957254675E8	-7.452083100672703E8
-1.0022093973745595E8	-7.252403496836731E8
-6.681109437363837E7	-7.031588740427558E8
-3.565257426295886E7	-6.794823432995726E8
-6476719.514637713	-6.546562433441929E8
2.0928552477311708E7	-6.286049314668703E8
4.6512587317734666E7	-6.0125511105899E8
6.999875443065253E7	-5.726177625026367E8
9.128216554603915E7	-5.431018163464342E8
1.1057370255642658E8	-5.1285126052671236E8
1.2800122307370603E8	-4.8182815385503125E8
1.4342737877721757E8	-4.4976382674683064E8
1.5634868759275746E8	-4.168118416358055E8
1.6655031165489665E8	-3.8345733284454495E8
1.7418047207186556E8	-3.5030668227304995E8
1.797994473906064E8	-3.175074137457604E8
1.8362336438729006E8	-2.8481461278245777E8
1.8556512525207636E8	-2.5194350022137034E8
1.8517111155003E8	-2.1896157380339208E8
1.8234955831021076E8	-1.8630193021640873E8
1.7721331926958767E8	-1.5426998125638184E8
1.7004671237732276E8	-1.2296829859807755E8
1.607950152675936E8	-9.228008624844904E7
1.49315463291878E8	-6.2423539027069405E7
1.3559387152160576E8	-3.375126174480966E7
1.2002960939217523E8	-6648717.884840303
1.0306186986736082E8	1.9066242923190244E7
8.475932900918302E7	4.3690116745161876E7
6.478536347884159E7	6.745633486989489E7
4.273634533746764E7	8.994551179681593E7
1.8738023712947834E7	1.1062424590609302E8
-6778155.305725463	1.2911428156745331E8
-3.3305050104337282E7	1.4556819451633707E8
-6.0819524682861194E7	1.6020646963094765E8
