Titan X	Titan Y
8.793892244413841E9	-1.5055503854790645E12
4.026339433365266E10	-1.5034280609955942E12
7.534215922253986E10	-1.5026781789593394E12
1.0612330127349544E11	-1.5015983822774993E12
1.39659278835815E11	-1.4970020408071123E12
1.731277038982135E11	-1.495465864758114E12
2.0374503963032684E11	-1.4901114494411738E12
2.3845632209819153E11	-1.4848030296451775E12
2.6936534194642972E11	-1.4805864349545464E12
3.015336785995452E11	-1.4720647824400325E12
3.351536802956374E11	-1.4663908227259429E12
3.647891162948242E11	-1.4580204699707952E12
3.9839830752465796E11	-1.4482610848507202E12
4.292456137515443E11	-1.4407408333154465E12
4.5964073851093774E11	-1.4286534976557444E12
4.927656195586237E11	-1.4186899154003857E12
5.213451697455782E11	-1.4074549475644045E12
5.531766717156157E11	-1.3934926823507188E12
5.836576596970104E11	-1.3824774688977747E12
6.119992988057577E11	-1.36720916456542E12
6.439174420568835E11	-1.3529398895736833E12
6.713763976440632E11	-1.3389122929399714E12
7.008508212151725E11	-1.3211120502372112E12
7.305332040782914E11	-1.3064337986462366E12
7.566573425935814E11	-1.2883566761512275E12
7.866452116809805E11	-1.269918085269701E12
8.128785189117905E11	-1.253096088834583E12
8.395384395799735E11	-1.2319095119913171E12
8.678736694532847E11	-1.213474390360076E12
8.917079703500897E11	-1.1929149709491692E12
9.190822022079093E11	-1.1705954009226113E12
9.439011015397787E11	-1.150929832963301E12
9.674239876276444E11	-1.1268611714099705E12
9.937795527889713E11	-1.10469351447236E12
1.0153030870061293E12	-1.0819091857037222E12
1.039463738305227E12	-1.0561330445939843E12
1.062567714078534E12	-1.0335686110828953E12
1.0827650710538981E12	-1.0071366513620723E12
1.1064713139486458E12	-9.814064024463241E11
1.1256648448379194E12	-9.565764697896381E11
1.1461278551805361E12	-9.278766124531173E11
1.16709965490022E12	-9.023999772886764E11
1.1839023846471985E12	-8.740991372335304E11
1.204305999548719E12	-8.451300072521995E11
1.2211035748515042E12	-8.183661857064052E11
1.2375228701098306E12	-7.873497212094313E11
1.255848688293827E12	-7.590364546264298E11
1.269278077022081E12	-7.293036334695347E11
1.2857933059444312E12	-6.975644438690929E11
1.3000453112122244E12	-6.689408778936184E11
1.3122235977632988E12	-6.362514395048076E11
1.327333902512483E12	-6.05303069840151E11
1.3374598911289482E12	-5.74497002272915E11
1.3496110343358577E12	-5.4058014507763E11
1.361066628886536E12	-5.101770795613859E11
1.3689529696434272E12	-4.764552025905964E11
1.3802754379751233E12	-4.432194736227271E11
1.387168760841726E12	-4.116178423141419E11
1.3946216023713958E12	-3.7620873379243823E11
1.4029348687275168E12	-3.4416076416343353E11
1.4066071076840945E12	-3.100055544304041E11
1.4136218736172932E12	-2.7497767016054596E11
1.4173100817428486E12	-2.427937784769865E11
1.4198917522921328E12	-2.066340853224006E11
1.4246509990325344E12	-1.7317307042017462E11
1.4242829337921255E12	-1.3911078213365536E11
1.4265721443945286E12	-1.0291788008069087E11
1.427009552820303E12	-7.033399964241278E10
1.4247159833050405E12	-3.4180476992243847E10
1.4254905539336096E12	3.3546885543704265E8
1.4213077213013E12	3.3869350911666183E10
1.4185949684474062E12	7.049619107655692E10
1.415653655606326E12	1.0328572467498125E11
1.408642674125972E12	1.3870441010142776E11
1.405038041034641E12	1.7378080876682086E11
1.397270260378978E12	2.064412951969254E11
1.3894483784621711E12	2.4270364192518463E11
1.3829328104428738E12	2.754488529588762E11
1.3715011050667466E12	3.0947291442558685E11
1.3632126003590798E12	3.444879193468577E11
1.3520534842647058E12	3.760016586255186E11
1.339200016039077E12	4.110764492529309E11
1.3288826545384888E12	4.4343720749614417E11
1.3134274736759604E12	4.755077049072988E11
1.300285649556113E12	5.0973679259594257E11
1.285868122235315E12	5.3986894839482025E11
1.2682468769552583E12	5.729553880576803E11
