Triton X	Triton Y
4.290716448664505E12	-1.2844361930672678E12
4.2962981857837554E12	-1.2654408856880476E12
4.301817444575446E12	-1.2464834889894744E12
4.3072295606569355E12	-1.2275807486096777E12
4.3124967670990483E12	-1.2087277113431426E12
4.3175985378095166E12	-1.1898992532049622E12
4.3225371612536323E12	-1.171057118659552E12
4.3273370753355938E12	-1.1521605268232512E12
4.3320381511449146E12	-1.1331774792214492E12
4.3366847141217705E12	-1.1140937058258713E12
4.3413132685909697E12	-1.0949167704919269E12
4.3459423207558965E12	-1.0756741340453812E12
4.3505671822830493E12	-1.0564056545145394E12
4.3551612515917373E12	-1.0371526124490437E12
4.3596834049961143E12	-1.0179463635598826E12
4.364089381480929E12	-9.987998022191995E11
4.36834396124201E12	-9.797039686734562E11
4.372430597119718E12	-9.606306649028264E11
4.3763559149527183E12	-9.415403142607748E11
4.3801478882542803E12	-9.223929262711873E11
4.38384816062554E12	-9.031592105103878E11
4.387500559129394E12	-8.838288055719576E11
4.3911389295614297E12	-8.644133109238066E11
4.394777692376585E12	-8.449432114312941E11
4.3984078060472295E12	-8.254595155682299E11
4.401999286638112E12	-8.060024635683757E11
4.405509540747478E12	-7.866004961312908E11
4.408895133003097E12	-7.67262550524267E11
4.412123712938342E12	-7.479757590925098E11
4.415182860500562E12	-7.287091169545725E11
4.41808348168428E12	-7.094220941267336E11
4.4208568329508955E12	-6.90075871038769E11
4.423545937144351E12	-6.706441600026534E11
4.4261936897009795E12	-6.511206275949237E11
4.428830932141035E12	-6.315208052335208E11
4.431467852084908E12	-6.118778977184639E11
4.434091153983081E12	-5.922336521635065E11
4.436667780709701E12	-5.726268763860559E11
4.439154088169075E12	-5.530828354656002E11
4.441507875349715E12	-5.336064416815706E11
4.443699957603898E12	-5.141810492561316E11
4.445722159394351E12	-4.9477313547276917E11
4.447589576486315E12	-4.753415964464458E11
4.449336464008106E12	-4.5584916121718805E11
4.451006810717225E12	-4.362728170940023E11
4.452642151013041E12	-4.1661033784561633E11
4.454270008435987E12	-3.968810387004516E11
4.455896240342715E12	-3.771205106417391E11
4.457503443009306E12	-3.573708253330339E11
4.459055821526137E12	-3.376689893383483E11
4.460509101256017E12	-3.1803686767765533E11
4.461822706714338E12	-2.984753159355155E11
4.462970887601013E12	-2.789640699717522E11
4.463949795934614E12	-2.594674004746161E11
4.464778588223598E12	-2.3994402031229456E11
4.46549419799516E12	-2.2035857820368408E11
