Uranus X	Uranus Y
2.650911197707829E12	1.356633584103449E12
2.6394754632046196E12	1.3772707636700808E12
2.6278675013533926E12	1.3978180994439553E12
2.61608794992622E12	1.4182741885079343E12
2.604137457723154E12	1.4386376313188652E12
2.59201668457119E12	1.4589070317718452E12
2.5797263013250605E12	1.479080997268733E12
2.5672669898635146E12	1.4991581387845627E12
2.554639443088238E12	1.5191370709427441E12
2.541844364934181E12	1.5390164120858308E12
2.5288824703631875E12	1.5587947843345977E12
2.515754485354109E12	1.5784708136592397E12
2.5024611469037144E12	1.598043129951534E12
2.489003203022351E12	1.6175103670923574E12
2.475381412731285E12	1.6368711630211218E12
2.4615965460536333E12	1.656124159797645E12
2.4476493839978965E12	1.6752680036722993E12
2.4335407185568535E12	1.6943013451624163E12
2.419271352701697E12	1.7132228391153127E12
2.404842100364892E12	1.732031144772989E12
2.390253786426619E12	1.7507249258411426E12
2.3755072466978613E12	1.7693028505578076E12
2.36060332790984E12	1.7877635917667446E12
2.3455428877006606E12	1.8061058269802156E12
2.330326794586759E12	1.8243282384422827E12
2.3149559279422607E12	1.8424295132050923E12
2.2994311779821665E12	1.8604083431997937E12
2.283753445739658E12	1.8782634253061877E12
2.2679236430416357E12	1.89599346142077E12
2.251942692473793E12	1.913597158525669E12
2.2358115273516313E12	1.931073228771396E12
2.219531091699156E12	1.9484203895549204E12
2.2031023402124277E12	1.9656373635917434E12
2.1865262382226855E12	1.9827228790002231E12
2.1698037616615305E12	1.999675669388926E12
2.1529358970254468E12	2.0164944739518381E12
2.135923641348154E12	2.0331780375666235E12
2.1187680021602017E12	2.0497251108867275E12
2.1014699974461096E12	2.0661344504540093E12
2.0840306556180762E12	2.0824048188221025E12
2.0664510154865967E12	2.098534984677381E12
2.048732126232314E12	2.1145237229721729E12
2.0308750473832876E12	2.1303698150634575E12
2.012880848792832E12	2.1460720488649753E12
1.994750610639299E12	2.161629219015615E12
1.9764854234320708E12	2.177040127037999E12
1.9580863880132473E12	2.1923035815041123E12
1.939554615579596E12	2.20741839821571E12
1.920891227716651E12	2.222383400379594E12
1.9020973564444346E12	2.237197418783447E12
1.8831741442745073E12	2.2518592919583447E12
1.8641227442628467E12	2.2663678663289575E12
1.8449443200755032E12	2.2807219963665835E12
1.8256400460661094E12	2.294920544718823E12
1.8062111073410286E12	2.3089623823125327E12
1.7866586998187935E12	2.3228463884427104E12
1.766984030278626E12	2.336571450840778E12
1.74718831639838E12	2.350136465732673E12
1.7272727867855479E12	2.363540337876983E12
1.707238680978394E12	2.376781980577752E12
1.6870872494262236E12	2.389860315700327E12
1.6668197534603096E12	2.402774273684569E12
1.6464374652456274E12	2.415522793552189E12
1.625941667719163E12	2.4281048229165415E12
1.6053336545089072E12	2.4405193179897056E12
1.5846147298388025E12	2.4527652436090957E12
1.5637862084414521E12	2.464841573280035E12
1.5428494154622715E12	2.47674728921358E12
1.5218056863544392E12	2.4884813823789517E12
1.5006563667785166E12	2.5000428525698193E12
1.4794028125006348E12	2.511430708481356E12
1.458046389302875E12	2.5226439678039355E12
1.4365884728967405E12	2.533681657309159E12
1.4150304488263743E12	2.5445428129437085E12
1.393373712386248E12	2.5552264799463955E12
1.371619668548157E12	2.5657317129606084E12
1.3497697318870588E12	2.576057576150063E12
1.327825326513758E12	2.58620314331626E12
1.3057878860024504E12	2.596167498014171E12
1.283658853325216E12	2.605949733685869E12
1.2614396808006453E12	2.615548953788325E12
1.2391318300310356E12	2.6249642719080513E12
1.2167367718394631E12	2.6341948118894395E12
1.1942559862137039E12	2.643239707963518E12
1.17169096224907E12	2.652098104877353E12
1.1490431980981646E12	2.660769158023511E12
1.1263142009123616E12	2.6692520335548804E12
1.1035054867768997E12	2.6775459085127856E12
1.0806185806580403E12	2.6856499709614688E12
1.0576550163477089E12	2.693563420109123E12
1.0346163364021177E12	2.7012854664298823E12
1.0115040920791125E12	2.708815331784396E12
9.883198432702137E11	2.7161522495459526E12
9.650651584422467E11	2.7232954647342065E12
9.417416145767322E11	2.73024423413123E12
9.183507970961932E11	2.7369978263984E12
8.94894299794373E11	2.7435555222043125E12
8.71373724765802E11	2.749916614348319E12
8.477906823359305E11	2.7560804078871104E12
8.2414679099012E11	2.762046220250685E12
8.004436772893176E11	2.7678133813581196E12
7.766829757907985E11	2.7733812337520415E12
7.528663289759535E11	2.778749132722322E12
7.28995387166984E11	2.7839164464227354E12
7.0507180844333E11	2.7888825559936245E12
6.810972585535472E11	2.7936468556812207E12
6.570734108263319E11	2.7982087529693667E12
6.330019460914761E11	2.8025676687056265E12
6.088845525872747E11	2.806723037210898E12
5.847229258621492E11	2.8106743064073447E12
5.605187686859242E11	2.814420937948873E12
5.362737909570137E11	2.817962407343699E12
5.1198970961045E11	2.8212982040799917E12
4.876682485221176E11	2.8244278317396606E12
4.6331113840325256E11	2.827350808123501E12
4.38920116707575E11	2.83006666538665E12
4.144969275384665E11	2.8325749501535625E12
3.9004332154475543E11	2.834875223634852E12
3.65561055820432E11	2.836967061750888E12
3.410518938023961E11	2.838850055252243E12
3.165176051727342E11	2.840523809845916E12
2.9195996576381445E11	2.8419879463048447E12
2.673807574499725E11	2.8432421005733164E12
2.427817680424323E11	2.844285923888738E12
2.181647911913456E11	2.845119082892767E12
1.935316262831646E11	2.845741259735843E12
1.6888407833781955E11	2.8461521521772134E12
1.4422395789894714E11	2.846351473680527E12
1.1955308092527718E11	2.8463389535214336E12
9.487326869217215E10	2.8461143368826997E12
7.018634768237627E10	2.8456773849319214E12
4.549414947178815E10	2.8450278749077085E12
2.0798510616836536E10	2.8441656002018325E12
-3.8987274608456664E9	2.843090370441225E12
-2.859571858388263E10	2.841802011563178E12
-5.329061193842221E10	2.840300365871064E12
-7.798155220367099E10	2.838585292104444E12
-1.0266667967128577E11	2.8366566655103794E12
-1.2734413036833035E11	2.8345143778962666E12
-1.5201203618728326E11	2.832158337683589E12
-1.7666852501755835E11	2.8295884699539365E12
-2.013117208884912E11	2.826804716498764E12
-2.259397441047647E11	2.8238070358782905E12
-2.5055071138057776E11	2.8205954034555703E12
-2.751427359919578E11	2.8171698114307812E12
-2.9971392792718335E11	2.8135302688888755E12
-3.242623940372835E11	2.809676801836628E12
-3.4878623819136816E11	2.8056094532420684E12
-3.732835614307314E11	2.8013282830636587E12
-3.977524621384035E11	2.796833368274101E12
-4.221910362135196E11	2.7921248029058857E12
-4.465973772358365E11	2.7872026980870967E12
-4.709695766427093E11	2.782067182065621E12
-4.953057239138547E11	2.7767184002428267E12
-5.196039067609857E11	2.771156515206608E12
-5.438622113251935E11	2.765381706775345E12
-5.680787223691344E11	2.759394172040456E12
-5.922515234816146E11	2.7531941253951616E12
