Time-step	Difference in L
100.0	1.7234934033649595E30
150.0	5.171095271028238E29
225.0	7.240581805619033E29
337.5	1.85211716266896E30
506.25	2.4963167953687295E29
759.375	6.610241604867059E28
1139.0625	3.771248267220754E29
1708.59375	2.8296194519127815E29
2562.890625	5.991478122982464E28
3844.3359375	7.936782147067386E28
5766.50390625	3.961908664937869E28
8649.755859375	3.7636513907917725E29
12974.6337890625	1.0433886329570242E29
19461.95068359375	2.5255442877728115E29
29192.926025390625	1.4857315860834368E29
43789.38903808594	2.5157914428219444E28
65684.0835571289	1.0401841939748904E29
98526.12533569336	1.9810704846024543E28
147789.18800354004	2.4798421850151876E28
221683.78200531006	1.486595548063201E28
332525.6730079651	5.059985265959977E27
498788.50951194763	5.005268255222029E27
748182.7642679214	1.003114632859488E28
1122274.1464018822	1.9815048143497216E28
1683411.2196028233	4.953120011966585E27
2525116.829404235	9.91386633746465E27
3787675.2441063523	5.083591576827583E27
5681512.8661595285	4.956220595639889E28
8522269.299239293	5.490770191480225E27
1.278340394885894E7	8.420793664376653E28
1.917510592328841E7	8.975159497164264E28
2.8762658884932615E7	1.1913125378475246E29
