Time-step	Difference in E
30.0	6.404709542391956E22
45.0	1.8926359419626E22
67.5	1.6122454320422148E22
101.25	1.2661845132194236E23
151.875	5.135204615239265E23
227.8125	2.0155650444698004E24
341.71875	8.609648861522459E24
512.578125	2.888184583527816E25
768.8671875	-1.3142714856707697E25
1153.30078125	9.812929977450533E23
1729.951171875	2.9999386484751633E25
2594.9267578125	-4.697049802368005E26
3892.39013671875	9.42073522743892E26
5838.585205078125	3.275115038609162E27
8757.877807617188	2.3617997168643707E28
13136.816711425781	1.9462809837048288E29
19705.225067138672	7.044591403179572E29
29557.837600708008	2.145760581051756E34
44336.75640106201	1.5799481524308625E31
66505.13460159302	5.963963659117692E31
99757.70190238953	9.497567787928107E31
149636.5528535843	1.8529063537349248E32
224454.82928037643	1.0636608077595107E34
336682.24392056465	8.011246096510222E32
505023.365880847	1.7035491923368692E33
757535.0488212705	3.7892867430814596E33
1136302.5732319057	9.632441109521156E33
1704453.8598478585	2.0779090422849936E34
2556680.789771788	4.343736935169228E34
3835021.1846576817	9.951895512055302E34
5752531.776986523	2.234501642879037E35
8628797.665479783	5.010962490374872E35
1.2943196498219674E7	1.124794804497848E36
1.941479474732951E7	2.5217401518146157E36
2.9122192120994266E7	5.661498668578389E36
